date	time	competition	round	opponent	is_home	team_score	opponent_score	goals	attendance
2021-08-01	13:00	League Cup	1st Round	Huddersfield Town	H	0	0		12860
2021-08-07	17:30	League One		Charlton Athletic	A	0	0		17639
2021-08-14	15:00	League One		Doncaster Rovers	H	2	0	Bannan 72, Adeniran 75	24738
2021-08-17	19:45	League One		Fleetwood Town	H	1	0	Gregory 15	21130
2021-08-21	13:00	League One		Rotherham United	A	2	0	Kamberi 50, Gregory 77	11522
2021-08-28	15:00	League One		Morecambe	A	0	1		5481
2021-08-31	19:00	League Trophy	Group Round	Newcastle Utd U21	H	3	0	Sow 41, Johnson 52, Palmer 54	6593
2021-09-11	15:00	League One		Plymouth Argyle	A	0	3		13448
2021-09-18	15:00	League One		Shrewsbury Town	H	1	1	Berahino 6	21976
2021-09-25	15:00	League One		Ipswich Town	A	1	1	Adeniran 27	21338
2021-09-28	19:45	League One		Wigan Athletic	A	2	1	Power 23 (og), Paterson 60	11884
2021-10-02	15:00	League One		Oxford United	H	1	2	Paterson 73	22060
2021-10-05	19:00	League Trophy	Group Round	Mansfield Town	A	2	1	Wing 63, Kamberi 90+3	2836
2021-10-09	15:00	League One		Bolton Wanderers	H	1	0	Gregory 66	23692
2021-10-16	15:00	League One		AFC Wimbledon	A	2	2	Gregory 13, 61	8224
2021-10-19	19:45	League One		Cambridge United	A	1	1	Dele-Bashiru 80	7342
2021-10-23	15:00	League One		Lincoln City	H	1	1	Adeniran 55	23521
2021-10-30	15:00	League One		Cheltenham Town	A	2	2	Dunkley 65, Blair 82 (og)	5582
2021-11-02	19:45	League One		Sunderland	H	3	0	Corbeanu 11, Kamberi 39, Gregory 53	23731
2021-11-06	15:00	FA Cup	1st Round	Plymouth Argyle	H	0	0		7261
2021-11-09	19:00	League Trophy	Group Round	Harrogate Town	H	4	0	Berahino 17, Byers 57, Sow 60, Adedoyin 68 (pen)	5433
2021-11-13	15:00	League One		Gillingham	H	1	1	Kamberi 75	20593
2021-11-16	19:45	FA Cup	1st Round Replay	Plymouth Argyle	A	0	3		11094
2021-11-20	15:00	League One		Accrington Stanley	A	3	2	Dunkley 13, Corbeanu 20, Kamberi 22	4627
2021-11-23	19:45	League One		MK Dons	H	2	1	Gregory 83, Windass 90+3	18581
2021-11-27	15:00	League One		Wycombe Wanderers	H	2	2	Shodipo 45+9, Windass 50	20761
2021-12-01	19:00	League Trophy	2nd Round	Hartlepool	H	0	3		5109
2021-12-07	19:45	League One		Portsmouth	A	0	0		16472
2021-12-11	15:00	League One		Crewe Alexandra	A	2	0	Bannan 27, Gregory 47	6325
2021-12-30	19:45	League One		Sunderland	A	0	5		34652
2022-01-02	15:00	League One		Shrewsbury Town	A	0	1		8270
2022-01-15	15:00	League One		Plymouth Argyle	H	4	2	Sow 19, Mendez-Laing 40, Hutchinson 79, Windass 84	20872
2022-01-22	15:00	League One		Oxford United	A	2	3	Bannan 7, Windass 60	10071
2022-01-29	15:00	League One		Ipswich Town	H	1	0	Johnson 6	23517
2022-02-01	19:45	League One		Morecambe	H	2	0	Byers 55, Mendez-Laing 90+1	19261
2022-02-05	15:00	League One		Burton Albion	A	2	0	Byers 33, Sow 81	4763
2022-02-08	19:45	League One		Wigan Athletic	H	1	0	Bannan 53 (pen)	20210
2022-02-13	12:00	League One		Rotherham United	H	0	2		26418
2022-02-19	15:00	League One		Doncaster Rovers	A	3	1	Paterson 70, Berahino 80, Bannan 83	11217
2022-02-26	15:00	League One		Charlton Athletic	H	2	0	Byers 5, Paterson 45	21845
2022-03-01	19:45	League One		Burton Albion	H	5	2	Palmer 13, Bannan 28, 87, Paterson 67, Johnson 75	20309
2022-03-05	15:00	League One		Lincoln City	A	1	3	Berahino 33	10283
2022-03-12	15:00	League One		Cambridge United	H	6	0	Jones 6 (og), Bannan 10, Berahino 37, 41, 54, Byers 48	22646
2022-03-15	19:45	League One		Accrington Stanley	H	1	1	Paterson 66	20688
2022-03-19	15:00	League One		Gillingham	A	0	0		7433
2022-03-26	15:00	League One		Cheltenham Town	H	4	1	Luongo 7, Gregory 58, Hunt 83, Byers 87	21925
2022-04-02	15:00	League One		AFC Wimbledon	H	2	1	Hunt 12, Gregory 90+2	22374
2022-04-09	15:00	League One		Bolton Wanderers	A	1	1	Storey 66	19164
2022-04-16	19:45	League One		MK Dons	A	3	1	Berahino 10, Gregory 20, Bannan 30	14252
2022-04-19	19:45	League One		Crewe Alexandra	H	1	0	Gregory 54 (pen)	22566
2022-04-23	15:00	League One		Wycombe Wanderers	A	0	1		9005
2022-04-26	19:45	League One		Fleetwood Town	A	3	2	Gregory 4, 73, 74	3901
2022-04-30	15:00	League One		Portsmouth	H	4	1	Gregory 17, Berahino 36, Storey 40, Byers 86	33394
2022-05-06	19:45	Play Off	Semi Final 1st Leg	Sunderland	A	0	1		44742
2022-05-09	19:45	Play Off	Semi Final 2nd Leg	Sunderland	H	1	1	Gregory 74	32978
